epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,6493.73,0.17583,0.14168,0.76543,0.86441,0.82057,0.8939,0.62476,1.15247,0.74749,1.34977,0.000660299,0.000660299,0.000660299
63,6595.71,0.17213,0.14558,0.76501,0.88168,0.80789,0.89495,0.62505,1.16535,0.74624,1.35514,0.000643795,0.000643795,0.000643795
64,6697.48,0.16955,0.13862,0.76483,0.8646,0.81954,0.89349,0.62408,1.15322,0.75744,1.35177,0.000627292,0.000627292,0.000627292
65,6799.3,0.16412,0.13435,0.76352,0.87022,0.80007,0.89197,0.62747,1.14334,0.7621,1.34141,0.000610789,0.000610789,0.000610789
66,6901.38,0.16185,0.13179,0.7637,0.88268,0.79808,0.89088,0.62846,1.13935,0.75618,1.33123,0.000594286,0.000594286,0.000594286
67,7003.39,0.15698,0.12955,0.76322,0.85314,0.81294,0.89145,0.62887,1.13565,0.74167,1.34421,0.000577782,0.000577782,0.000577782
68,7107.46,0.15583,0.12732,0.7624,0.87584,0.79919,0.89104,0.62914,1.1372,0.73473,1.33654,0.000561279,0.000561279,0.000561279
69,7213.74,0.14904,0.12385,0.76096,0.88086,0.80843,0.89712,0.6285,1.14514,0.73274,1.3526,0.000544776,0.000544776,0.000544776
70,7316.9,0.1478,0.12254,0.76148,0.8883,0.79865,0.88967,0.62523,1.13685,0.75852,1.34391,0.000528272,0.000528272,0.000528272
71,7420.84,0.145,0.12028,0.76137,0.88214,0.79922,0.89018,0.62929,1.13065,0.75396,1.34257,0.000511769,0.000511769,0.000511769
72,7523.39,0.14026,0.11724,0.76098,0.8771,0.80271,0.88983,0.62932,1.12626,0.76381,1.33395,0.000495266,0.000495266,0.000495266
73,7626.31,0.13946,0.1168,0.76146,0.86656,0.81554,0.8969,0.62974,1.14753,0.75077,1.35702,0.000478762,0.000478762,0.000478762
74,7728.98,0.13493,0.11385,0.76026,0.87789,0.80463,0.89619,0.62895,1.14219,0.74605,1.3423,0.000462259,0.000462259,0.000462259
75,7832.51,0.13215,0.1126,0.76002,0.86748,0.81002,0.89337,0.6299,1.13849,0.75591,1.34142,0.000445756,0.000445756,0.000445756
76,7935.8,0.13197,0.11094,0.7599,0.86732,0.82181,0.89642,0.62965,1.13362,0.75208,1.33941,0.000429253,0.000429253,0.000429253
77,8039.66,0.12765,0.10918,0.75996,0.88205,0.79983,0.88984,0.62977,1.12836,0.77286,1.34083,0.000412749,0.000412749,0.000412749
78,8143.53,0.12477,0.10792,0.76027,0.86837,0.8154,0.89457,0.62935,1.13676,0.74733,1.35302,0.000396246,0.000396246,0.000396246
79,8247.29,0.12456,0.10611,0.75945,0.85682,0.81324,0.88885,0.627,1.13863,0.75795,1.35157,0.000379743,0.000379743,0.000379743
80,8351.2,0.11973,0.10345,0.75958,0.87203,0.80899,0.89437,0.62951,1.13575,0.77968,1.34767,0.000363239,0.000363239,0.000363239
81,8455.21,0.11833,0.10253,0.7582,0.85731,0.81294,0.89184,0.62747,1.135,0.77761,1.35575,0.000346736,0.000346736,0.000346736
82,8561.68,0.11463,0.10026,0.7591,0.88028,0.80036,0.89462,0.63221,1.13528,0.76864,1.35378,0.000330233,0.000330233,0.000330233
83,8665.45,0.11203,0.09881,0.75772,0.8605,0.81084,0.88931,0.62911,1.1349,0.77584,1.35731,0.000313729,0.000313729,0.000313729
84,8771.84,0.10934,0.09716,0.75786,0.86991,0.80036,0.89072,0.62787,1.13582,0.77431,1.35673,0.000297226,0.000297226,0.000297226
85,8878.53,0.10591,0.09457,0.7575,0.87796,0.7901,0.89016,0.63205,1.13038,0.78307,1.35189,0.000280723,0.000280723,0.000280723
86,8983.75,0.10308,0.0929,0.75843,0.87921,0.79952,0.89285,0.62942,1.13803,0.77845,1.36299,0.00026422,0.00026422,0.00026422
87,9087.45,0.10004,0.09112,0.75894,0.87881,0.80505,0.8906,0.63242,1.12921,0.7846,1.35621,0.000247716,0.000247716,0.000247716
88,9191.45,0.09857,0.09046,0.75753,0.88055,0.80116,0.89255,0.63118,1.1346,0.78244,1.36053,0.000231213,0.000231213,0.000231213
89,9294.94,0.09652,0.08929,0.75658,0.87841,0.81112,0.89525,0.63453,1.1338,0.78109,1.35739,0.00021471,0.00021471,0.00021471
90,9401.1,0.09317,0.0871,0.75717,0.87709,0.80874,0.89469,0.63096,1.13561,0.79228,1.36494,0.000198206,0.000198206,0.000198206
91,9524.21,0.09094,0.08536,0.7581,0.87795,0.81294,0.89457,0.63331,1.13811,0.79083,1.36769,0.000181703,0.000181703,0.000181703
92,9627.64,0.08812,0.08304,0.7564,0.86409,0.81309,0.89235,0.63291,1.13405,0.80299,1.36345,0.0001652,0.0001652,0.0001652
93,9732.97,0.0855,0.08173,0.75667,0.87726,0.81525,0.89293,0.62999,1.13745,0.79633,1.36806,0.000148696,0.000148696,0.000148696
94,9838.07,0.08447,0.081,0.75586,0.84604,0.83038,0.89216,0.63029,1.13678,0.80814,1.36562,0.000132193,0.000132193,0.000132193
95,9940.4,0.08092,0.07857,0.75613,0.87256,0.81181,0.89487,0.63237,1.13717,0.80497,1.36357,0.00011569,0.00011569,0.00011569
96,10042.3,0.0797,0.07815,0.75685,0.87919,0.80878,0.89467,0.63033,1.13691,0.81399,1.37032,9.91865e-05,9.91865e-05,9.91865e-05
97,10144.6,0.07747,0.07683,0.7557,0.87686,0.80708,0.89254,0.62813,1.13811,0.81762,1.37391,8.26832e-05,8.26832e-05,8.26832e-05
98,10246.7,0.07521,0.07503,0.75654,0.87984,0.80037,0.89308,0.63066,1.13665,0.81786,1.3707,6.61799e-05,6.61799e-05,6.61799e-05
99,10348.9,0.07395,0.07444,0.75643,0.88421,0.8068,0.89388,0.62928,1.13657,0.8166,1.37154,4.96766e-05,4.96766e-05,4.96766e-05
100,10451.1,0.07091,0.0726,0.75567,0.88009,0.80723,0.89385,0.62937,1.13659,0.82314,1.36985,3.31733e-05,3.31733e-05,3.31733e-05
